Key,Type,Desc,English,Korea,Japanese,Chinese (Traditional)
DailyQuestItem_txtBearEnemyType,Text,,Kill {[VALUE]} Bears,죽이기 {[VALUE]} 곰,クマを{[VALUE]}殺す,殺{[VALUE]}熊
DailyQuestItem_txtBuySkinType,Text,,Buy {[VALUE]} Hero Skin,구매 {[VALUE]} 영웅 스킨,ヒーロースキンを{[VALUE]}買う,購買{[VALUE]}英雄皮膚
DailyQuestItem_txtChestType,Text,,Open the Treasure {[VALUE]} times,보물 열기 {[VALUE]} 시간,トレジャーを開く{[VALUE]}回,開寶{[VALUE]}次數
DailyQuestItem_txtCompleteDesertType,Text,,Complete Desert map,완전한 사막 지도,デザートのマップを終わらしてください,完整的沙漠地圖
DailyQuestItem_txtCompleteEarthType,Text,,Complete Earth map,완전한 지구 지도,アースのマップを終わらしてください,完整的地球地圖
DailyQuestItem_txtCompleteIcelandType,Text,,Complete Iceland map,완전한 아이슬란드 지도,アイスランドのマップを終わらしてください,完整的冰島地圖
DailyQuestItem_txtCompleteInfernoType,Text,,Complete Inferno map,인페르노 맵 완성,インフェルノのマップを終わらしてください,完整的地獄地圖
DailyQuestItem_txtCompleteJadeType,Text,,Complete Jade map,비취 지도 완료,ザーデのマップを終わらしてください,完整的玉圖
DailyQuestItem_txtCompleteOlympusType,Text,,Complete Olympus map,올림푸스 지도 완성,オリンパスのマップを終わらしてください,完整的奧林巴斯地圖
DailyQuestItem_txtDemonEnemyType,Text,,Kill {[VALUE]} Firelords,죽이기 {[VALUE]} 불의 군주,Firelordsを{[VALUE]}殺す,殺{[VALUE]}火之王
DailyQuestItem_txtDragonEnemyType,Text,,Kill {[VALUE]} Fire Dragons,킬 {[VALUE]} 파이어 드래곤,Fire Dragonを{[VALUE]}殺す,殺{[VALUE]}火龍
DailyQuestItem_txtDragonGoldType,Text,,Kill {[VALUE]} Golden Dragons,죽이기 {[VALUE]} 골든 드래곤,Golden Dragonを{[VALUE]}殺す,殺{[VALUE]}金龍
DailyQuestItem_txtFireType,Text,,Kill {[VALUE]} Demons,죽이기 {[VALUE]} 악마,Firelordsを{[VALUE]}殺す,殺戮{[VALUE]}惡魔
DailyQuestItem_txtGetFoodType,Text,,Get Food {[VALUE]} times,음식 {[VALUE]} 시간 얻기,食物{[VALUE]}回をもらいます,獲取食物 {[VALUE]} 次
DailyQuestItem_txtGetGlovesType,Text,,Get Gloves {[VALUE]} times,장갑 {[VALUE]} 시간 얻기,手袋を{[VALUE]}回もらいます,獲得手套 {[VALUE]} 次
DailyQuestItem_txtGetHolyWaterType,Text,,Get Holy Water {[VALUE]} times,성수 얻기 {[VALUE]} 시간,聖水を{[VALUE]}回もらいます,獲得聖水 {[VALUE]} 次
DailyQuestItem_txtGetShieldType,Text,,Get Shield {[VALUE]} times,보호막 획득 {[VALUE]} 시간,シールドを{[VALUE]}回もらいます,獲得盾牌{[VALUE]}次
DailyQuestItem_txtGetSwordType,Text,,Get Sword {[VALUE]} times,검 획득 {[VALUE]} 시간,剣を{[VALUE]}回もらいます,獲得劍{[VALUE]}次
DailyQuestItem_txtGhostEnemyType,Text,,Kill {[VALUE]} Ghosts,죽이기 {[VALUE]} 유령,幽霊を{[VALUE]}殺す,殺{[VALUE]}鬼
DailyQuestItem_txtLevelPassedType,Text,,Win {[VALUE]} levels,승리 {[VALUE]} 레벨,レベルを{[VALUE]}終わらしてください,勝利 {[VALUE]} 等級
DailyQuestItem_txtLogIntoTheGameType,Text,,Log in to the game,게임에 로그인,ゲームにログインする,登錄遊戲
DailyQuestItem_txtLoginFacebookType,Text,,Login Facebook,페이스 북 로그인,フェイスブックにログインする,登入臉書
DailyQuestItem_txtNormalEnemyType,Text,,Kill {[VALUE]} Goblins,죽이기 {[VALUE]} 고블린,ゴブリンを{[VALUE]}殺す,殺{[VALUE]}哥布林
DailyQuestItem_txtPoliceStickType,Text,,Kill {[VALUE]} Zombies,죽이기 {[VALUE]} 좀비,ゾンビを{[VALUE]}殺す,殺戮{[VALUE]}殭屍
DailyQuestItem_txtPrincessType,Text,,Save the Princess {[VALUE]} times,공주를 구하라 {[VALUE]} 시간,プリンセスを{[VALUE]}回保存する,拯救公主 {[VALUE]} 次
DailyQuestItem_txtPushWallType,Text,,Push Wall Block {[VALUE]} times,푸시 월 블록 {[VALUE]} 회,ウォールブロックを{[VALUE]}回押す,推牆塊 {[VALUE]} 次
DailyQuestItem_txtSpiderType,Text,,Kill {[VALUE]} Spiders,죽이기 {[VALUE]} 거미,クモを{[VALUE]}殺す,殺{[VALUE]}蜘蛛
DailyQuestItem_txtWatchVideoRewardType,Text,,Watch video reward {[VALUE]} time,동영상 보상 {[VALUE]} 시간 보기,ビデオ報酬{[VALUE]}時間を見る,觀看視頻獎勵{[VALUE]}時間
DailyQuestItem_txtWolfEnemyType,Text,,Kill {[VALUE]} Wolves,죽이기 {[VALUE]} 늑대,オオカミを{[VALUE]}殺す,殺{[VALUE]}狼
DailyQuestItem_txtYetiType,Text,,Kill {[VALUE]} Ice Bears,죽이기 {[VALUE]} 아이스 베어,アイスベアを{[VALUE]}殺す,殺死{[VALUE]}冰熊
DailyQuest_txtCountDown,Text,,Daily Quest will reload in:{[VALUE]},일일 퀘스트는 다음에서 다시 로드됩니다:{[VALUE]},デイリークエストは次の場所にリロードされます：{[VALUE]},每日任務將重新加載：{[VALUE]}
DailyQuest_txtTitle,Text,,Daily Quest,일일 퀘스트,毎日クエスト,每日任務
DailyReward_txtTitle,Text,,Daily reward,일일 보상,毎日の報酬,每日獎勵
FaceBookConnect_txtTitle,Text,,Facebook connect,페이스북 연결,Facebookを接続する,臉書連接
FacebookConnect_txtGet500Coins,Text,,Get  500 coins,500코인을 받으세요,500コインをゲットする,獲得500金幣
FacebookConnect_txtWarning,Text,,We will not spam your wall,우리는 당신의 벽을 스팸하지 않을 것입니다,私たちはあなたの壁をスパムしません,我們不會向您的牆發送垃圾郵件
GiftCode_txtDescription,Text,,"Join our group to
receive giftcode in the future","우리 그룹에 가입하여
앞으로 기프트 코드 받기","私たちのグループに参加して
ギフトコードを受け取る","加入我們的小組
將來收到禮物代碼"
GiftCode_txtTitle,Text,,Enter your Giftcode,기프트 코드를 입력하세요,ギフトコードを入力してください,輸入您的禮品代碼
GiftCode_txtWarring,Text,,The code is not correct,코드가 올바르지 않습니다.,コードが正しくありません,代碼不正確
GiftPopup_txtNoti,Text,,You got a new item,새로운 아이템을 얻었습니다,あなたは新しいアイテムをもらいました,你有一個新項目
Golden medal total:,Text,,Golden medal total:,금메달 합계:,金メダル合計：,金牌總數：
Home_txtCastle,Text,,Castle,성,城,城堡
Home_txtLevel,Text,,Level {[VALUE]},레벨 {[VALUE]},{[VALUE]}のレベル,等級 {[VALUE]}
Home_txtLibrary,Text,,Library,도서관,図書館,圖書館
Home_txtQuest,Text,,Quest,탐구,クエスト,尋求
Home_txtSkin,Text,,Skin,피부,服,皮膚
InGame_Level11_txtTutorial,Text,,GET KEY TO OPEN THE TREASURE,보물을 여는 열쇠를 얻다,宝物を開くための鍵を入手する,拿到鑰匙打開寶藏
InGame_Level1_txtProcess,Text,,Hero > Enemy -> kill Enemy,영웅 > 적 -> 적 처치,ヒーロー>敵->敵を殺す,英雄>敵人->殺死敵人
InGame_Level1_txtTutorial,Text,,Hold and Drag,홀드 앤 드래그,押したままドラッグする,按住並拖動
InGame_Level2_txtTutorial,Text,,KILL ALL ENEMIES,모든 적을 죽이다,すべての敵を殺す,殺死所有敵人
InGame_Level7_txtTutorial,Text,,SAVE THE PRINCESS,공주를 구하다,王女を救う,拯救公主
LeaderBoard_txtCountry,Text,,Country,국가,お国,國家
LeaderBoard_txtNoti,Text,,Check your network connection again!,네트워크 연결을 다시 확인하십시오!,ネットワーク接続をもう一度確認してください。,再次檢查您的網絡連接！
LeaderBoard_txtTitle,Text,,Leaderboard,리더보드,ネットワーク接続をもう一度確認してください。,排行榜
LeaderBoard_txtWord,Text,,World,세계,世界,世界
LibraryItem_txtComingsoon,Text,,Comming Soon,빨리오고,近日公開,即將到來
LibraryPopup_txtBazen HeroDescription,Text,,The hero comes from Demacia Kingdom. The princess of Demacia is kidnapped by monsters. He is on his way to rescue the princess and search for treasure in other empires.,영웅은 데마시아 왕국에서 왔습니다. 데마시아의 공주는 괴물들에게 납치된다. 그는 공주를 구출하고 다른 제국의 보물을 찾기 위해 가는 중입니다.,主人公はデマシア王国出身です。デマシアの王女はモンスターに誘拐されます。彼は王女を救出し、他の帝国の宝物を探すために彼の道を進んでいます。,英雄來自德瑪西亞王國。德瑪西亞的公主被怪物綁架了。他正在拯救公主並在其他帝國尋找寶藏的路上。
LibraryPopup_txtBearDescription,Text,,Bears are classified as doglike carnivorans. They usually feed during the day and have a keen sense of smell and deal big damage.,곰은 개를 닮은 육식 동물로 분류됩니다. 주로 낮에 먹이를 먹으며 후각이 예민하여 큰 피해를 입힙니다.,クマは犬のような肉目として分類されます。彼らは通常、日中に餌をやり、鋭い嗅覚を持ち、大きなダメージを与えます。,熊被歸類為類似狗的食肉動物。它們通常在白天進食，嗅覺靈敏，造成巨大傷害。
LibraryPopup_txtBlood SwordDescription,Text,,The Blood Sword is a sword forged from the blood of demons. It has power beyond human imagination,블러드 소드(Blood Sword)는 악마의 피로 벼려낸 검이다. 인간의 상상을 초월하는 힘이 있다,ブラッドソードは、悪魔の血から鍛造された剣です。それは人間の想像を超えた力を持っています,血劍是用惡魔之血鍛造而成的劍。它擁有超乎人類想像的力量
LibraryPopup_txtBomb GoblinDescription,Text,,"Bomb Goblin is a type of goblin that always carries bombs on its body, tough and ruthless to the point of revenge on the enemy even when he dies","폭탄 고블린은 몸에 폭탄을 항상 짊어지고 다니는 도깨비의 일종으로, 적군이 죽어도 복수할 정도로 강인하고 무자비하다.",爆弾ゴブリンは常に爆弾を体に運ぶゴブリンの一種で、敵が死んだとしても敵に復讐するまでタフで冷酷です。,炸彈哥布林是一種身上總是攜帶炸彈的哥布林，強悍無情到死都報復敵人的地步
LibraryPopup_txtBowDescription,Text,,Bows and arrows are ancient treasures of the kingdom of Ibaxia that contain terrible damage.,활과 화살은 끔찍한 피해를 지닌 이박시아 왕국의 고대 보물입니다.,弓と矢は、ひどいダメージを含むイバクシア王国の古代の宝物です。,弓箭是伊巴夏王國的古老寶藏，有著可怕的傷害。
LibraryPopup_txtBunyipDescription,Text,,"The bunyip is a creature from Australian Aboriginal mythology, said to lurk in swamps, billabongs, creeks, riverbeds, and waterholes.","부입은 늪, 빌라봉, 개울, 강바닥, 물웅덩이에 숨어 있다고 하는 호주 원주민 신화에 나오는 생물입니다.",バニップはオーストラリアのアボリジニの神話に由来する生き物で、沼地、ビラボン、小川、川床、滝壺に潜んでいると言われています。,bunyip 是澳大利亞土著神話中的一種生物，據說潛伏在沼澤、死水潭、小溪、河床和水坑中。
LibraryPopup_txtDemonDescription,Text,,"The demon is a supernatural being, known for its cruelty and cruelty, often appearing in myths. They cause quite a lot of damage.",악마는 잔혹성과 잔혹성으로 잘 알려진 초자연적인 존재로 신화에 자주 등장합니다. 그들은 꽤 많은 피해를 입힙니다.,悪魔は超自然的な存在であり、その残酷さと残酷さで知られており、しばしば神話に登場します。それらはかなりのダメージを与えます。,惡魔是一種超自然的存在，以殘忍和殘忍著稱，經常出現在神話中。它們造成了相當大的損害。
LibraryPopup_txtEvil TreantDescription,Text,,"Evil Treant is the Boss of Monsters, the goal is to take revenge on those who cut down trees, have high health and strength, can see off enemies in a few notes","Evil Treant는 몬스터의 보스입니다. 목표는 나무를 자르고, 높은 건강과 힘을 갖고, 몇 가지 메모에서 적을 볼 수 있는 자들에게 복수하는 것입니다.",Evil Treantはモンスターのボスです。目標は、木を切り倒し、体力と体力が高く、いくつかのメモで敵を見送ることができる人に復讐することです。,邪惡樹人是怪物之王，目標是報復那些砍伐樹木的人，健康和力量很高，可以在幾個音符中看到敵人
LibraryPopup_txtFire DragonDescription,Text,,"Fire Dragons are famously known for their deadly fire and flight abilities. They grow larger, stronger, and more terrifying with extremely dame.",Fire Dragons는 치명적인 불과 비행 능력으로 유명합니다. 그들은 엄청나게 크고 강하며 더 무섭게 자랍니다.,ファイアドラゴンは、その致命的な火と飛行能力で有名です。彼らはより大きく、より強く、そしてより恐ろしくなり、非常に堕落します。,火龍以其致命的火力和飛行能力而聞名。他們變得更大，更強壯，而且變得更加可怕。
LibraryPopup_txtFire StaffDescription,Text,,"The Fire staff is the treasure of the ancient Mages, used to increase super-massive power",파이어 스태프는 고대 마법사의 보물로 초강력을 증가시키는 데 사용됩니다.,火の杖は古代の魔道士の宝物であり、超大規模な力を高めるために使用されます,火法杖是遠古法師的寶物，用來增加超大威力
LibraryPopup_txtFirelordDescription,Text,,Firelord wields a flaming staff and is capable of energy projection via his eyes and staff. They deal quite big dame.,파이어로드는 불타는 지팡이를 휘두르며 눈과 지팡이를 통해 에너지를 투사할 수 있습니다. 그들은 꽤 큰 일을 처리합니다.,ファイアロードは燃えるようなスタッフを振るい、彼の目とスタッフを介してエネルギーを投影することができます。彼らはかなり大きなダムを扱っています。,Firelord 揮舞著一根燃燒的法杖，能夠通過他的眼睛和法杖進行能量投射。他們處理相當大的女士。
LibraryPopup_txtGhostDescription,Text,,Ghosts are spirits or spirits of the dead or animals that can appear to the living. They are as ruthless as demons and cause great damage.,귀신은 죽은 자의 영이나 영 또는 산 자에게 나타날 수 있는 동물입니다. 그들은 악마처럼 무자비하며 큰 피해를 줍니다.,幽霊は、生きている人に現れることができる死者または動物の霊または霊です。彼らは悪魔のように冷酷で、大きなダメージを与えます。,鬼魂是可以出現在生者面前的靈魂或死者或動物的靈魂。他們像惡魔一樣無情，會造成巨大的傷害。
LibraryPopup_txtGoblinDescription,Text,,"They are small, mischievous, and greedy, especially for gold and jewelry. They deal small damage.","그들은 작고, 장난꾸러기이며, 특히 금과 보석에 대해 탐욕스럽습니다. 그들은 작은 피해를 입힙니다.",それらは小さく、いたずら好きで、特に金や宝石の場合は貪欲です。彼らは小さなダメージを与えます。,它們個子小、淘氣、貪婪，尤其是對黃金和珠寶。他們造成的傷害很小。
LibraryPopup_txtGolden DragonDescription,Text,,"Golden dragons were the strongest and most majestic of the metallic dragons, and were considered the apex of the draconic race. They deal large dame.",골든 드래곤은 금속 드래곤 중 가장 강력하고 위엄이 있으며 드라코닉 종족의 정점으로 여겨졌습니다. 그들은 큰 담을 취급합니다.,ゴールデンドラゴンは、メタリックドラゴンの中で最も強く、最も威厳があり、ドラコニックレースの頂点と見なされていました。彼らは大きなダムを扱います。,金龍是所有金屬龍中最強壯、最威嚴的，被認為是龍族的頂點。他們處理大貴婦。
LibraryPopup_txtHoly WaterDescription,Text,,"Holy Water is the magic water from Lilaly, extracted from the quintessence of the rose plants that Zoen witch planted.",성수는 Zoen 마녀가 심은 장미 식물의 정수에서 추출한 Lilaly의 마법의 물입니다.,聖水は、ゾエンの魔女が植えたバラの真髄から抽出されたリラリーの魔法の水です。,聖水是來自莉拉莉的魔法水，是從佐恩女巫種植的玫瑰植物精華中提取的。
LibraryPopup_txtHydraDescription,Text,,"Hydra is a dragon with many heads, it has the ability to regenerate and its armor is extremely scary",히드라는 머리가 많은 드래곤으로 재생 능력이 있으며 갑옷이 매우 무섭습니다.,ヒドラは頭の多いドラゴンで、再生能力があり、鎧は非常に怖いです,九頭蛇是多頭龍，有再生能力，鎧甲極其恐怖
LibraryPopup_txtIce BearDescription,Text,,"Ice bear is a smart and strong snow bear. They like to eat fish and small animals. However, they do not like humans. They will deal great damage.",아이스베어는 똑똑하고 강한 스노우베어입니다. 그들은 물고기와 작은 동물을 먹는 것을 좋아합니다. 그러나 그들은 인간을 좋아하지 않습니다. 그들은 큰 피해를 입힐 것입니다.,ホッキョクグマは賢くて強い雪のクマです。彼らは魚や小動物を食べるのが好きです。しかし、彼らは人間が好きではありません。彼らは大きなダメージを与えるでしょう。,冰熊是一隻聰明強壯的雪熊。他們喜歡吃魚和小動物。然而，他們不喜歡人類。他們會造成很大的傷害。
LibraryPopup_txtIce DragonDescription,Text,,"Like fire dragons, ice dragons are quadrupedal reptiles with massive wings and super damage",파이어 드래곤과 마찬가지로 아이스 드래곤은 거대한 날개와 슈퍼 데미지를 지닌 사족 파충류입니다.,ファイアドラゴンと同様にアイスドラゴンは巨大な翼とスーパーダメージを持っ族爬虫類です。,像火龍一樣，冰龍是四足爬行動物，擁有巨大的翅膀和超強的傷害
LibraryPopup_txtIce StaffDescription,Text,,"The Ice Staff is the treasure of the ancient Mages, used to increase super-massive power",아이스 스태프는 고대 마법사의 보물로 초강력을 증가시키는 데 사용됩니다.,アイススタッフは古代の魔道士の宝物であり、超大規模な力を高めるために使用されます,冰法杖是遠古法師的寶物，用來增加超大威力
LibraryPopup_txtInfinity GauntletDescription,Text,,"Infinity glove is a glove originating from the Marsa universe, containing tremendous power that can summon creatures from space.","인피니티 글러브는 마르사 우주에서 유래한 글러브로, 우주에서 생명체를 소환할 수 있는 엄청난 힘을 담고 있다.",インフィニティグローブは、マルサ宇宙を起源とするグローブで、宇宙から生き物を召喚できる驚異的なパワーを備えています。,無限手套是一種起源於馬薩宇宙的手套，蘊含著可以從太空召喚生物的巨大力量。
LibraryPopup_txtIron KnifeDescription,Text,,"Iron Knife is a special knife forged in the Swar volcano, it causes the enemy to be injured and bleed continuously, irreparably.","아이언 나이프는 스와르 화산에서 벼려낸 특수 나이프로, 적에게 돌이킬 수 없는 상처와 출혈을 지속적으로 유발합니다.",アイアンナイフはスワー火山で鍛造された特殊なナイフで、敵を負傷させ、取り返しのつかないほど絶え間なく出血させます。,鐵刀是在斯瓦爾火山中鍛造的特殊刀，它使敵人不斷受傷流血，無法挽回。
LibraryPopup_txtJade SwordDescription,Text,,Jade Sword is a sword forged by the best craftsmen in Jade. It causes a huge amount of damage,비취검(Jade Sword)은 비취 최고의 장인들이 만든 검입니다. 엄청난 피해를 입힙니다,翡翠の剣は翡翠の最高の職人によって鍛造された剣です。甚大な被害をもたらします,玉劍是由玉中最好的工匠鍛造的劍。它會造成巨大的傷害
LibraryPopup_txtKappaDescription,Text,,Kappa are anthropomorphic reptiles live in rivers and streams. They can spit out powerful poisons that reduce energy,카파는 강과 시내에 사는 의인화 된 파충류입니다. 그들은 에너지를 감소시키는 강력한 독을 뱉을 수 있습니다,カッパは、川や小川に生息する擬人化された爬虫類です。彼らはエネルギーを減らす強力な毒を吐き出すことができます,河童是擬人化的爬行動物，生活在河流和溪流中。他們可以吐出減少能量的強大毒藥
LibraryPopup_txtKatana SwordDescription,Text,,The Katana is a steel sword that was historically used by the Japanese samurai.,Katana는 역사적으로 일본 사무라이가 사용했던 강철 검입니다.,刀は、日本の武士が歴史的に使用した鋼の刀です。,武士刀是日本武士歷史上使用的鋼劍。
LibraryPopup_txtKrakenDescription,Text,,Kraken is a legendary sea monster of enormous size. The sheer size and terrifying power of the Kraken make enemies extremely terrifying,Kraken은 거대한 크기의 전설적인 바다 괴물입니다. 크라켄의 엄청난 크기와 무시무시한 힘은 적을 극도로 공포스럽게 만듭니다.,クラーケンは巨大なサイズの伝説的な海の怪物です。クラーケンの巨大なサイズと恐ろしい力は、敵を非常に恐ろしいものにします,Kraken是傳說中的巨大體型的海怪。 Kraken 龐大的體型和可怕的力量讓敵人極其恐怖
LibraryPopup_txtLightning StaffDescription,Text,,"Lightning Staff is the treasure of the ancient Mages, used to increase super-massive power",라이트닝 스태프는 고대 마법사의 보물이며 초강력을 증가시키는 데 사용됩니다.,ライトニングスタッフは古代の魔道士の宝物であり、超大規模な力を高めるために使用されます,閃電法杖是古代法師的寶物，用來增加超大威力
LibraryPopup_txtLuccy PrincessDescription,Text,,"This is Princess of Demacia Kingdom, tied up or locked in an iron cage<br>Rescue the Princess by defeating enemies.",철창에 갇히거나 갇힌 데마시아 왕국의 공주<br>적들을 무찌르고 공주를 구출하세요.,これはデマシア王国の王女で、鉄の檻に縛られているか閉じ込められています。<br>敵を倒して王女を救出してください。,這是德瑪西亞王國的公主，被綁或鎖在鐵籠子裡<br>通過擊敗敵人來拯救公主。
LibraryPopup_txtMaceDescription,Text,,Mace is a special weapon used only by super-strong warriors. It both stuns and kills enemies even though it's a bit slow,철퇴는 초강력 전사만이 사용하는 특수 무기입니다. 약간 느리더라도 적을 기절시키고 죽입니다.,メイスは超強力な戦士だけが使う特別な武器です。少し遅いですが、敵を気絶させて殺します,狼牙棒是只有超強戰士才能使用的特殊武器。即使它有點慢，它也能擊暈和殺死敵人
LibraryPopup_txtPoison PythonDescription,Text,,Poison Python is a mature python of Cylindar. Its poison has tremendous destructive power,Poison Python은 Cylindar의 성숙한 Python입니다. 그 독은 엄청난 파괴력을 가지고 있다,Poison Pythonはcylindarの成熟したpythonです。その毒は巨大な破壊力を持っている,Poison Python 是 Cylindar 的成熟蟒蛇。它的毒具有巨大的破壞力
LibraryPopup_txtPoison SpiderDescription,Text,,Spiders are arthropods with 8 legs and can spray venom. They will cause a lot of damage.,거미는 다리가 8개인 절지동물로 독을 뿌릴 수 있습니다. 그들은 많은 피해를 입힐 것입니다.,クモは8本足の節足動物で、毒を噴霧することができます。それらは多くのダメージを引き起こします。,蜘蛛是有 8 條腿的節肢動物，可以噴灑毒液。他們會造成很大的傷害。
LibraryPopup_txtPoison StaffDescription,Text,,"The Poison staff is the treasure of the ancient Mages, used to increase super-massive power",포이즌 스태프는 고대 마법사의 보물이며 초강력을 증가시키는 데 사용됩니다.,毒の杖は古代の魔道士の宝物であり、超大規模な力を高めるために使用されます,毒杖是上古法師的寶物，用來增加超大威力
LibraryPopup_txtPollaxeDescription,Text,,The pollaxe is a European polearm that was widely used by medieval infantry.,폴락스는 중세 보병이 널리 사용했던 유럽식 장대입니다.,ポラックスは、中世の歩兵によって広く使用されていたヨーロッパのポールアームです。,波拉克斯是一種歐洲長柄武器，被中世紀的步兵廣泛使用。
LibraryPopup_txtPower BreadDescription,Text,,Superpower Bread made by celebrity chef Robinz of Demacia to celebrate Princess Luccy's 20th birthday,루시 공주의 20번째 생일을 축하하기 위해 데마시아의 유명 셰프 로빈즈가 만든 슈퍼파워 브레드,ルーシー姫の20歳の誕生日を祝うためにデマシアの有名シェフロビンズによって作られた超大国のパン,德瑪西亞名廚羅賓茲為慶祝露西公主 20 歲生日而製作的超能力麵包
LibraryPopup_txtRed SpiderDescription,Text,,Spiders are arthropods with 8 legs and can shoot down enemies with silk. They will cause a lot of damage.,거미는 다리가 8개인 절지동물로 실크로 적을 격추할 수 있습니다. 그들은 많은 피해를 입힐 것입니다.,蜘蛛は8本足の節足動物で、絹で敵を撃墜することができます。それらは多くのダメージを引き起こします。,蜘蛛是有 8 條腿的節肢動物，可以用絲綢擊落敵人。他們會造成很大的傷害。
LibraryPopup_txtShurikenDescription,Text,,Shurikens are consumable  throwing weapons that can pierce several enemies. They have a 50% chance of being retrievable again after us,수리검은 여러 적을 관통할 수 있는 소모성 투척 무기입니다. 50% 확률로 우리 뒤에 다시 회수할 수 있습니다.,手裏剣は、複数の敵を突き刺すことができる消耗品の投擲武器です。彼らは私たちの後に再び検索可能になる可能性が50％あります,手裡劍是消耗性的投擲武器，可以刺穿多個敵人。在我們之後，它們有 50% 的機會再次被回收
LibraryPopup_txtTher AxeDescription,Text,,"Ther Axe is a very powerful axe and hammer of Mercy, it can generate intense destructive electric pulses.",거기에 도끼는 매우 강력한 도끼이자 자비의 망치이며 강렬한 파괴적인 전기 펄스를 생성할 수 있습니다.,斧は非常に強力な斧であり、慈悲のハンマーであり、強力な破壊的な電気パルスを生成することができます。,Ther Axe 是一把非常強大的慈悲斧頭和錘子，它可以產生強烈的破壞性電脈衝。
LibraryPopup_txtUmibozuDescription,Text,,"Umibozu appear and disappear over the oceans, often at night. They are quite large, dealing a lot of damage",Umibozu는 종종 밤에 바다 위에 나타났다가 사라집니다. 그들은 꽤 커서 많은 피해를 입힙니다.,海坊主は海上で、しばしば夜に現れたり消えたりします。それらは非常に大きく、多くのダメージを与えます,Umibozu 經常在夜間出現和消失在海洋上。它們很大，造成很大的傷害
LibraryPopup_txtUnbeaten ShieldDescription,Text,,The Shield is Demacia's absolute unbreakable defense weapon - whoever has it is invincible and only heroes are worthy to wield it.,방패는 Demacia의 절대 깨지지 않는 방어 무기입니다. 방패를 가진 사람은 누구든 무적이며 영웅만이 사용할 수 있습니다.,シールドはデマシアの絶対に壊れない防御兵器です-それを持っている人は誰でも無敵であり、ヒーローだけがそれを振るう価値があります。,盾牌是德瑪西亞絕對牢不可破的防禦武器——擁有它的人立於不敗之地，只有英雄才有資格使用它。
LibraryPopup_txtUndeathDescription,Text,,"Undeath are beings in mythology, legend, or fiction that are deceased but behave as if they were alive. They deal so much damage.","언데드는 신화, 전설 또는 허구에서 죽었지만 살아 있는 것처럼 행동하는 존재입니다. 그들은 너무 많은 피해를 입힙니다.",アンデッドとは、神話、伝説、またはフィクションの中で死んでいるが、生きているかのように振る舞う存在です。彼らは非常に多くのダメージを与えます。,亡靈是神話、傳說或小說中的生物，它們已經死了，但表現得好像他們還活著。他們造成瞭如此多的傷害。
